fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,quality,alcohol_level_bajo,alcohol_level_medio,alcohol_level_muy_alto
0.582278481012658,0.14054054054054055,0.15662650602409642,0.1326687116564417,0.0741839762611276,0.24738675958188155,0.30858468677494194,0.14247156352419665,0.2574257425742572,0.17441860465116277,6,False,False,False
0.48101265822784806,0.23783783783783785,0.15662650602409642,0.28144171779141103,0.13056379821958458,0.11846689895470383,0.38283062645011595,0.24387892808945466,0.4059405940594063,0.3255813953488372,5,False,True,False
0.5316455696202529,0.17297297297297298,0.15662650602409642,0.15950920245398773,0.10089020771513352,0.13588850174216027,0.4686774941995359,0.1860420281472912,0.31683168316831667,0.31395348837209297,6,False,True,False
0.4050632911392404,0.32432432432432434,0.1746987951807229,0.19938650306748465,0.09495548961424335,0.0975609756097561,0.29698375870069604,0.14459224985540686,0.22772277227722793,0.8604651162790695,6,False,False,False
0.4430379746835443,0.17297297297297298,0.2530120481927711,0.20552147239263804,0.16913946587537093,0.16027874564459932,0.43851508120649646,0.2080200501253131,0.0990099009900991,0.2325581395348837,6,True,False,False
0.3544303797468354,0.5837837837837838,0.14457831325301204,0.007668711656441719,0.08902077151335314,0.013937282229965159,0.12296983758700696,0.1212647002120697,0.613861386138614,0.11627906976744184,5,False,True,False
0.3544303797468354,0.2702702702702703,0.20481927710843376,0.1058282208588957,0.0801186943620178,0.1289198606271777,0.2668213457076566,0.07942934258723966,0.1980198019801982,0.11627906976744184,8,False,False,False
0.34177215189873406,0.08648648648648649,0.1746987951807229,0.018404907975460124,0.12166172106824927,0.13240418118466898,0.3201856148491879,0.07885097358781579,0.26732673267326756,0.25581395348837205,7,False,False,False
0.3164556962025316,0.08648648648648649,0.13253012048192772,0.012269938650306747,0.09198813056379823,0.13588850174216027,0.3248259860788863,0.11933680354733056,0.6930693069306932,0.4186046511627906,6,False,True,False
0.43037974683544294,0.11891891891891893,0.14457831325301204,0.08742331288343558,0.13353115727002968,0.11149825783972125,0.5150812064965198,0.1791016001542296,0.5643564356435644,0.372093023255814,6,False,True,False
0.34177215189873406,0.16216216216216217,0.1927710843373494,0.004601226993865032,0.09495548961424335,0.08013937282229966,0.16241299303944312,0.10584152689416015,0.5940594059405941,0.372093023255814,7,False,True,False
0.39240506329113917,0.20540540540540542,0.44578313253012053,0.013803680981595092,0.0801186943620178,0.08710801393728224,0.26218097447795824,0.10584152689416015,0.5544554455445545,0.30232558139534876,6,False,False,False
0.29113924050632906,0.16216216216216217,0.21686746987951808,0.254601226993865,0.08902077151335314,0.12195121951219512,0.28074245939675174,0.23809523809523725,0.4356435643564356,0.2441860465116279,6,True,False,False
0.2658227848101265,0.0972972972972973,0.21686746987951808,0.01687116564417178,0.09792284866468845,0.041811846689895474,0.12064965197215778,0.083477925583189,0.4257425742574261,0.372093023255814,6,False,True,False
0.2658227848101265,0.10810810810810811,0.16265060240963858,0.013803680981595092,0.23738872403560832,0.13240418118466898,0.31090487238979114,0.10005783689994274,0.6930693069306932,0.46511627906976744,6,False,True,False
0.5569620253164556,0.1837837837837838,0.1987951807228916,0.02914110429447853,0.13056379821958458,0.0348432055749129,0.14617169373549882,0.13360323886639947,0.0990099009900991,0.30232558139534876,5,False,True,False
0.4430379746835443,0.11891891891891893,0.18072289156626506,0.18711656441717792,0.13056379821958458,0.16202090592334495,0.5104408352668214,0.22151532677848706,0.34653465346534684,0.31395348837209297,7,False,True,False
0.34177215189873406,0.14054054054054055,0.18072289156626506,0.14263803680981596,0.09495548961424335,0.21602787456445993,0.38283062645011595,0.1521110468478888,0.27722772277227703,0.3255813953488372,6,False,True,False
0.5316455696202529,0.41081081081081083,0.18674698795180725,0.01687116564417178,0.12759643916913946,0.1672473867595819,0.40371229698375866,0.10005783689994274,0.2376237623762374,0.2325581395348837,5,False,False,False
0.4177215189873417,0.15135135135135136,0.14457831325301204,0.012269938650306747,0.09495548961424335,0.05226480836236934,0.34802784222737815,0.09350298823983039,0.4554455445544554,0.3604651162790698,6,False,False,False
0.2658227848101265,0.22702702702702704,0.12650602409638556,0.010736196319018405,0.1364985163204748,0.13937282229965156,0.36890951276102085,0.08270676691729406,0.5247524752475248,0.2441860465116279,6,False,False,False
